Age,Income_M_VND,VisitsPerMonth,LuxurySpendRatio,Cluster
18,5.3,11.0,0.11,0
20,5.5,13.5,0.1,0
25,7.6,7.5,0.15,0
22,6.5,13.3,0.0,0
24,5.4,7.8,0.24,0
23,6.6,10.4,0.12,0
19,6.2,9.6,0.19,0
23,6.5,10.3,0.13,0
20,10.0,14.6,0.03,0
20,5.4,12.6,0.07,0
21,4.9,8.0,0.0,0
16,8.8,1.7,0.12,0
25,4.6,12.7,0.09,0
19,9.4,12.3,0.2,0
24,5.6,10.5,0.0,0
21,6.1,8.3,0.09,0
26,7.5,14.8,0.08,0
19,8.4,4.6,0.0,0
20,8.0,7.6,0.0,0
22,5.6,5.6,0.01,0
16,5.3,11.1,0.18,0
23,6.7,8.6,0.18,0
26,6.3,16.3,0.0,0
24,4.7,10.1,0.09,0
23,6.8,9.3,0.14,0
21,8.0,11.7,0.13,0
25,6.3,7.8,0.0,0
24,9.1,6.7,0.05,0
22,6.8,11.6,0.0,0
21,5.7,8.5,0.18,0
20,6.2,12.9,0.31,0
17,4.9,11.0,0.1,0
25,3.9,10.3,0.0,0
16,7.0,10.2,0.17,0
20,4.3,9.7,0.22,0
21,5.3,11.2,0.22,0
24,5.8,8.8,0.11,0
26,6.8,4.1,0.14,1
24,6.9,10.2,0.11,0
20,6.1,8.6,0.16,0
23,2.1,5.9,0.18,0
17,5.6,12.3,0.04,0
25,4.4,8.9,0.05,0
21,5.8,4.8,0.07,0
19,8.0,9.8,0.08,0
19,7.6,8.0,0.12,0
21,6.4,4.9,0.19,0
20,7.0,10.9,0.0,0
28,3.0,6.8,0.17,0
19,6.4,12.2,0.08,0
21,7.2,7.3,0.0,0
21,4.6,12.9,0.07,0
21,6.8,11.3,0.08,0
21,5.2,10.3,0.14,0
20,8.0,7.7,0.15,0
19,8.2,12.7,0.1,0
18,4.9,11.5,0.03,0
17,8.9,8.9,0.18,0
22,5.6,11.7,0.05,0
24,10.1,6.9,0.0,0
19,5.0,6.2,0.05,0
19,6.1,9.7,0.06,0
20,6.4,10.2,0.09,0
20,4.5,11.3,0.06,0
17,2.5,10.2,0.07,0
25,4.4,13.7,0.16,0
22,8.2,6.1,0.16,0
19,5.3,11.7,0.14,0
22,5.3,10.7,0.08,0
20,9.0,14.1,0.05,0
20,7.0,10.4,0.08,0
22,7.4,10.9,0.09,0
24,7.7,15.3,0.17,0
26,4.2,12.4,0.08,0
26,6.2,11.8,0.0,0
20,6.3,8.8,0.03,0
20,5.7,10.4,0.24,0
21,3.8,5.0,0.03,0
21,6.9,7.5,0.0,0
19,2.7,11.9,0.08,0
19,4.1,4.7,0.24,0
23,4.4,10.3,0.11,0
26,5.2,10.1,0.12,0
20,7.7,11.2,0.0,0
19,9.3,4.9,0.0,0
20,9.4,3.9,0.1,0
18,7.6,13.3,0.06,0
20,6.9,10.3,0.13,0
22,2.0,11.2,0.01,0
21,8.3,14.8,0.18,0
25,11.3,10.5,0.21,0
21,6.9,4.1,0.0,0
22,6.5,9.1,0.12,0
21,7.4,12.5,0.08,0
25,7.5,8.7,0.22,0
17,6.3,9.1,0.12,0
20,5.3,8.2,0.18,0
17,6.7,14.4,0.09,0
23,3.3,13.7,0.13,0
24,2.2,4.6,0.27,0
19,8.7,15.7,0.27,0
26,5.1,7.7,0.0,0
20,7.4,16.1,0.13,0
17,9.1,6.1,0.12,0
20,8.4,13.3,0.01,0
22,4.9,8.3,0.04,0
20,6.6,9.5,0.11,0
28,3.7,12.7,0.18,0
24,5.8,7.8,0.14,0
26,8.1,10.9,0.07,0
25,6.1,10.9,0.02,0
16,2.0,13.6,0.0,0
20,2.0,14.1,0.22,0
16,4.4,15.6,0.06,0
19,8.7,10.9,0.03,0
24,6.4,11.2,0.13,0
18,6.3,8.3,0.09,0
19,3.4,7.7,0.1,0
22,6.3,6.0,0.15,0
23,2.0,9.3,0.06,0
28,17.3,7.2,0.18,0
32,18.1,3.8,0.27,1
33,15.0,10.4,0.31,0
28,19.9,2.8,0.45,1
27,22.9,5.5,0.35,1
28,5.9,6.1,0.23,1
37,11.7,4.8,0.14,1
40,12.0,6.1,0.08,1
39,21.3,7.4,0.3,1
28,21.1,9.0,0.32,0
30,15.9,6.4,0.35,1
27,25.5,6.1,0.23,1
42,16.1,6.8,0.2,1
31,20.7,6.2,0.19,1
33,22.0,4.6,0.28,1
31,17.2,6.1,0.0,1
34,23.2,8.6,0.03,1
28,16.1,6.3,0.0,0
30,17.9,6.1,0.16,1
28,18.5,5.8,0.19,1
21,21.8,7.2,0.32,0
34,25.2,6.9,0.2,1
37,14.2,7.0,0.25,1
38,11.1,5.4,0.19,1
41,21.3,1.3,0.15,1
38,7.5,4.8,0.09,1
33,18.2,6.0,0.23,1
36,20.9,4.2,0.2,1
30,9.2,7.4,0.09,0
37,13.8,4.2,0.14,1
32,16.4,1.6,0.09,1
21,17.4,7.7,0.12,0
33,18.0,5.6,0.32,1
33,20.0,6.1,0.24,1
27,21.4,2.5,0.25,1
35,10.1,5.3,0.11,1
39,24.2,5.7,0.14,1
27,16.5,6.2,0.32,1
37,15.9,7.9,0.13,1
37,23.5,4.7,0.14,1
28,15.3,5.6,0.27,1
31,13.6,9.5,0.32,0
28,8.5,5.7,0.32,1
30,24.3,8.9,0.22,0
33,9.1,2.5,0.14,1
39,11.4,5.7,0.24,1
30,7.4,8.5,0.25,0
25,16.0,7.4,0.18,0
17,8.7,9.1,0.18,0
30,23.9,5.3,0.28,1
26,14.6,6.3,0.4,1
34,12.2,1.3,0.03,1
34,19.9,3.2,0.2,1
25,12.6,7.1,0.04,0
35,17.4,4.8,0.21,1
32,22.5,7.7,0.17,1
32,14.0,5.4,0.4,1
30,16.1,7.1,0.25,1
38,14.3,4.3,0.09,1
36,16.4,3.9,0.36,1
34,33.3,8.2,0.05,1
39,7.3,7.2,0.27,1
33,22.6,6.0,0.38,1
34,18.3,7.7,0.24,1
36,14.5,7.8,0.27,1
32,23.1,8.3,0.26,1
27,24.3,5.4,0.19,1
42,13.5,4.5,0.23,1
38,17.6,6.1,0.05,1
27,15.0,6.7,0.26,1
28,20.3,3.4,0.13,1
28,18.9,1.6,0.29,1
25,17.9,6.8,0.17,0
35,20.2,8.5,0.19,1
41,20.6,6.3,0.18,1
35,25.4,5.5,0.12,1
41,13.7,6.4,0.26,1
31,17.7,6.4,0.18,1
34,30.2,4.0,0.1,1
28,14.8,6.6,0.16,1
33,24.2,8.4,0.18,1
38,13.1,6.8,0.24,1
37,21.6,5.7,0.22,1
38,17.1,7.5,0.16,1
31,20.1,7.2,0.23,1
38,16.6,4.0,0.43,1
40,24.5,8.6,0.17,1
36,17.8,7.7,0.0,1
26,17.2,6.7,0.09,0
34,20.4,7.0,0.14,1
34,14.5,6.5,0.32,1
30,6.3,4.6,0.32,1
28,10.5,7.3,0.15,0
29,14.4,6.1,0.22,1
39,26.6,8.3,0.19,1
34,29.4,5.0,0.08,1
41,11.3,4.5,0.21,1
24,18.8,4.3,0.24,1
35,14.6,8.1,0.09,1
41,19.3,6.0,0.22,1
42,11.6,4.9,0.31,1
30,19.8,3.5,0.03,1
41,14.0,11.1,0.22,1
38,12.1,6.2,0.28,1
39,14.7,4.8,0.3,1
34,7.9,5.1,0.09,1
38,21.4,8.4,0.16,1
38,13.7,5.4,0.2,1
30,25.5,3.9,0.31,1
19,22.2,5.8,0.4,0
39,24.2,9.3,0.22,1
38,16.0,8.5,0.33,1
37,24.7,8.7,0.18,1
31,24.7,4.7,0.17,1
31,16.1,3.1,0.31,1
25,18.4,5.3,0.36,1
41,25.4,5.2,0.39,1
33,18.9,6.0,0.13,1
37,14.5,7.8,0.1,1
31,23.5,4.9,0.37,1
21,24.2,4.5,0.0,0
37,13.6,3.8,0.18,1
39,20.3,7.5,0.14,1
42,18.2,6.8,0.34,1
33,23.8,7.8,0.21,1
31,14.4,3.4,0.25,1
34,24.7,5.0,0.22,1
28,22.8,8.6,0.17,0
29,16.2,6.8,0.26,1
36,15.3,8.4,0.11,1
32,12.2,7.9,0.1,0
30,25.2,7.5,0.16,1
35,13.2,4.8,0.18,1
31,17.1,5.8,0.13,1
45,27.7,6.6,0.21,1
32,22.1,10.7,0.42,1
41,19.7,7.5,0.17,1
37,19.4,5.8,0.29,1
38,17.1,6.4,0.17,1
35,11.1,6.9,0.32,1
35,33.0,5.0,0.24,1
47,27.2,7.9,0.52,1
44,29.8,5.0,0.51,1
44,27.8,1.7,0.0,1
34,20.7,1.8,0.19,1
39,26.2,6.4,0.23,1
50,19.1,3.8,0.23,1
33,27.8,4.0,0.24,1
40,32.2,3.1,0.17,1
45,40.5,5.5,0.22,1
54,19.7,4.3,0.11,1
49,32.4,2.2,0.05,1
50,30.3,3.2,0.11,1
39,18.0,3.6,0.25,1
43,26.5,3.3,0.32,1
38,33.2,5.1,0.53,1
40,21.2,2.7,0.17,1
43,27.6,3.4,0.36,1
37,24.0,6.5,0.24,1
50,27.1,6.6,0.2,1
42,20.6,6.9,0.33,1
40,25.6,4.6,0.23,1
37,27.9,5.3,0.16,1
50,21.8,2.8,0.16,1
46,20.0,2.9,0.13,1
40,24.6,1.8,0.12,1
35,22.0,4.7,0.3,1
47,25.2,5.1,0.27,1
41,20.5,4.9,0.11,1
48,30.4,3.5,0.07,1
42,26.6,3.4,0.36,1
50,16.5,5.4,0.22,1
42,33.7,2.5,0.23,1
51,20.0,4.3,0.23,1
47,23.0,5.8,0.23,1
34,31.9,4.8,0.14,1
40,20.2,4.6,0.39,1
51,37.4,4.8,0.38,1
44,11.0,4.7,0.26,1
39,7.7,3.8,0.0,1
43,26.3,1.5,0.25,1
49,16.4,1.2,0.25,1
44,25.5,4.4,0.32,1
41,19.9,3.7,0.31,1
32,23.2,6.7,0.39,1
52,26.7,4.2,0.22,1
36,25.6,7.2,0.0,1
48,23.5,2.8,0.47,1
33,22.2,6.2,0.48,1
39,23.7,4.8,0.32,1
37,20.9,6.1,0.06,1
47,32.1,2.8,0.35,1
39,18.6,2.9,0.24,1
45,26.7,3.2,0.1,1
52,27.0,6.3,0.34,1
43,14.3,4.8,0.57,1
37,26.9,5.9,0.27,1
40,31.8,2.4,0.25,1
36,23.7,6.5,0.12,1
47,29.0,5.9,0.2,1
46,24.6,3.1,0.47,1
44,26.0,2.9,0.22,1
36,30.1,3.9,0.18,1
29,24.0,4.9,0.19,1
40,28.4,3.8,0.29,1
40,15.7,5.0,0.12,1
36,25.6,2.3,0.31,1
37,14.4,6.0,0.15,1
40,22.5,5.8,0.33,1
47,20.9,5.4,0.46,1
29,27.5,2.5,0.19,1
39,22.5,5.5,0.29,1
47,36.2,2.4,0.35,1
29,22.6,6.1,0.33,1
41,18.6,2.1,0.31,1
42,12.5,3.7,0.41,1
43,24.8,5.3,0.0,1
53,23.0,2.4,0.23,1
42,29.6,1.1,0.14,1
38,30.2,3.2,0.3,1
39,29.6,3.3,0.42,1
42,19.5,3.3,0.28,1
36,17.5,4.2,0.19,1
